Feature,Random Forest,Gradient Boosting
manufacturer_name_УАЗ,0.00011004514181518838,4.0946251550267985e-05
manufacturer_name_Great Wall,0.00010968638412803398,0.0
model_name_C4,0.00010588546805351041,0.0
model_name_Bora,0.00010534164885301538,0.0
engine_fuel_hybrid-petrol,0.00010486817317640441,0.0
model_name_X6,0.00010449318783674596,0.0
model_name_Prius,0.00010250401989493666,0.0
model_name_Alhambra,0.00010117412108573298,0.0
model_name_Justy,0.00010084754201369454,0.0
model_name_Ka,9.991281731535499e-05,0.0
model_name_Polo Sedan,9.849129101950246e-05,0.0
model_name_Escort,9.77953791618387e-05,0.0
model_name_XC90,9.577674759504175e-05,0.0
model_name_Rio,9.552348330822665e-05,0.0
model_name_MDX,9.390768457479199e-05,0.0
model_name_Cee'd,9.294936074440139e-05,0.0
model_name_Almera,9.283634585980185e-05,0.0
model_name_Tribeca,9.257788278784154e-05,0.0
model_name_A6 Allroad,9.255086097775597e-05,0.0
model_name_Pajero,9.143839583524916e-05,0.0
model_name_Sandero,9.077221698319522e-05,0.0
model_name_408,8.93406344829741e-05,8.082013647501128e-05
model_name_Bravo,8.90731720030287e-05,0.0
model_name_E220,8.88680473467187e-05,0.0
model_name_745,8.862439348373222e-05,0.0
model_name_Carina II,8.789480930448645e-05,0.0
model_name_Picnic,8.56430764361092e-05,0.0
model_name_Altea,8.543634919317168e-05,0.0
model_name_Corolla Verso,8.527135515233287e-05,0.0
model_name_Lancer,8.406172293959897e-05,0.0
model_name_Verso,8.252354649795348e-05,0.0
model_name_Fusion,8.055428486975624e-05,0.0
model_name_Fiesta,8.021543067694324e-05,0.0
model_name_Sebring,7.989276046506155e-05,0.0
model_name_Grand Scenic,7.962595382526569e-05,0.0
model_name_Sorento,7.95550655109957e-05,0.0
model_name_XC60,7.917191409091066e-05,0.0
model_name_Megane Scenic,7.915964966205232e-05,0.0
model_name_Punto,7.912356039390574e-05,0.0
model_name_316,7.858021508893387e-05,0.0
model_name_Marea,7.762854500688746e-05,0.0
model_name_400-Series,7.741564607131739e-05,0.0
model_name_116,7.664330730947274e-05,0.0
model_name_Juke,7.648689289684685e-05,0.0
model_name_Premacy,7.43324946932801e-05,0.0
model_name_S320,7.40546532356705e-05,0.0
model_name_Omega,7.3744561643295e-05,0.0
model_name_Range Rover Evoque,7.273086103955318e-05,0.0
model_name_Outlander,7.2599598424203e-05,0.0
model_name_206,7.17387719653579e-05,0.0
model_name_T5 Caravelle,7.163355497421266e-05,0.0
model_name_406,7.134882061443003e-05,0.0
model_name_S60,7.078907170329225e-05,0.0
manufacturer_name_Lexus,7.039880005692426e-05,0.0
model_name_600-Series,6.980309565918174e-05,0.0
body_type_pickup,6.972700027858834e-05,0.0
model_name_325,6.934434756212407e-05,0.0
model_name_TSX,6.884640248353287e-05,0.0
model_name_GL400,6.877107116526163e-05,0.00045428157610660357
model_name_Escape,6.875009016569973e-05,0.0
model_name_Palio,6.752399989682269e-05,0.0
model_name_GL350,6.735499388863369e-05,0.0
model_name_V40,6.678281622713619e-05,0.0
model_name_C4 Picasso,6.659621133309317e-05,0.0
model_name_Coupe,6.629534143528007e-05,0.0
model_name_Tucson,6.611730206337363e-05,0.0
model_name_CX-7,6.486805681695997e-05,0.0
model_name_Town&Country,6.460804171566569e-05,0.0
model_name_XF,6.455664957201064e-05,0.0
model_name_Trail Blazer,6.404346726251786e-05,0.0
model_name_Caravan,6.395290145509168e-05,0.0
model_name_T4 Multivan,6.389476045100091e-05,0.0
model_name_CLS320,6.38267609995374e-05,0.0
model_name_535,6.324864040326627e-05,0.0
model_name_C200,6.31727710091729e-05,0.0
